,category,term,tf_idf
385,Мебель,100х40х150,0.0005853162429536523
386,Красота,100х6,0.00010563555871494477
387,Канцтовары,100х60см,0.0004082771138156663
388,Для ремонта,100шт,0.00015170026694390302
389,Дом,100шт,0.0003026327552276092
390,Здоровье,100шт,0.0017291271469653834
391,Канцтовары,100шт,0.0003848959434864752
392,Товары для взрослых,100шт,0.00036368082242506914
393,Зоотовары,101,0.0005009752497291639
394,Красота,101,5.753541086719865e-05
395,Сад и дача,101,0.00010300832877398014
396,Электроника,101,0.00043140331874799216
397,Дом,1010см,0.00016050835289558324
398,Автотовары,1011,0.0003385247609632983
399,Дом,1011000,0.0001239653762739075
400,Мужчинам,1011000,9.101862882881e-05
401,Электроника,10110u,0.0001584121149759833
402,Продукты,1012,0.00035180522737733106
403,Ювелирные изделия,1017,0.000593088786569498
404,Автотовары,1017100xeb02,0.00016926238048164914
405,Электроника,1018,0.0001584121149759833
406,Канцтовары,101х66,0.0006306491235519586
407,Книги,101х66,8.680825699278168e-05
408,Канцтовары,101х69см,0.0008165542276313326
409,Бытовая техника,102,0.0002610971621167584
410,Детям,102,0.0005344381843859584
411,Зоотовары,102,0.0005009752497291639
412,Электроника,102,8.628066374959844e-05
413,Зоотовары,1020,0.000306598432801956
414,Зоотовары,1020мм,0.000306598432801956
415,Электроника,1024,0.0001584121149759833
416,Детям,10262,0.0001894589684282876
417,Игрушки,10262,7.669945712768627e-05
418,Дом,1027,0.0004815250586867497
419,Дом,1028,0.00016050835289558324
420,Детям,10282,0.0001894589684282876
421,Игрушки,10282,7.669945712768627e-05
422,Автотовары,102h,0.00016926238048164914
423,Автотовары,102txl,0.0006770495219265965
424,Автотовары,102v,0.00016926238048164914
425,Дом,102х204см,0.00016050835289558324
426,Дом,103,0.00010258910528549732
427,Мебель,103,0.00018705278756659744
428,Электроника,103,0.0006074957539066486
429,Игрушки,10300,9.93092095679102e-05
430,Электроника,10300h,0.0003168242299519666
431,Дом,1032,0.0008025417644779162
432,Автотовары,10324,0.00016926238048164914
433,Сад и дача,1036,0.00037824853245414623
434,Бытовая техника,1036al,0.0004793768599784952
435,Игрушки,103см,9.93092095679102e-05
436,Детям,104,0.0008016572765789376
437,Зоотовары,104,0.0003339834998194426
438,Красота,104,5.753541086719865e-05
439,Электроника,104,8.628066374959844e-05
440,Автотовары,104t,0.0003385247609632983
441,Аксессуары,104см,0.00018656305151807238
442,Для ремонта,105,0.00020569874725743267
443,Дом,105,0.00030776731585649197
444,Электроника,105,0.000404997169271099
445,Игрушки,1050,9.93092095679102e-05
446,Дом,1051200,0.00010258910528549732
447,Женщинам,1051200,0.00013594137454686303
448,Мужчинам,1051200,7.53236103218748e-05
449,Электроника,1055lm,0.0004752363449279499
450,Автотовары,1056022300,0.00016926238048164914
451,Автотовары,105gs,0.000432737009852741
452,Бытовая техника,105gs,0.0006127885841773936
453,Сад и дача,105gs,0.0007252740026296359
454,Бытовая техника,105l,0.0007404740220952535
455,Красота,105l,0.0001631709695821434
456,Для ремонта,105гр,0.0009654933734852292
457,Сад и дача,105х5,0.00018912426622707312
458,Для ремонта,106,0.0017399182664000364
459,Сад и дача,106,0.00043819889250157985
460,Бытовая техника,1065,0.0004793768599784952
461,Красота,10654ti,0.00010563555871494477
462,Электроника,1065g7,0.0001584121149759833
463,Сад и дача,106a,0.00018912426622707312
464,Сад и дача,106m,0.00037824853245414623
465,Сад и дача,106м,0.00018912426622707312
466,Для ремонта,106х1005м,0.00032183112449507643
467,Дом,106х106см,0.00016050835289558324
468,Для ремонта,107,0.0002485597523428623
469,Книги,107,8.680825699278168e-05
470,Игрушки,10714,9.93092095679102e-05
471,Детям,10776,0.0001894589684282876
472,Игрушки,10776,7.669945712768627e-05
473,Автотовары,108,0.00018323438405539163
474,Для ремонта,108,0.00011613237723764373
475,Игрушки,108,3.5835609768343604e-05
476,Книги,108,0.0003244692402017528
477,Красота,108,3.8118465308910505e-05
478,Электроника,108,0.00028581411329104263
479,Ювелирные изделия,108,7.133846030312401e-05
480,Автотовары,1080,0.00026145274444470756
481,Электроника,1080,0.0015905030617162812
482,Электроника,10802460,0.0003168242299519666
483,Автотовары,1080p,0.0005229054888894151
484,Электроника,1080p,0.0020798886191674445
485,Электроника,1080x2400,0.0003168242299519666
486,Электроника,1080х2400,0.0001584121149759833
487,Детям,10859,0.00024530839076008566
488,Детям,10872,0.0001894589684282876
489,Игрушки,10872,0.00015339891425537254
490,Детям,10899,0.0003789179368565752
491,Игрушки,10899,0.00015339891425537254
492,Зоотовары,108ватт,0.000613196865603912
493,Для ремонта,108к,0.00032183112449507643
494,Игрушки,109,7.669945712768627e-05
495,Сад и дача,109,0.0002921325950010532
496,Детям,10933,0.0001894589684282876
497,Игрушки,10933,7.669945712768627e-05
498,Детям,10941,0.0003789179368565752
499,Игрушки,10941,0.00015339891425537254
500,Детям,10946,0.0001894589684282876
501,Игрушки,10946,0.00015339891425537254
502,Детям,10947,0.0003789179368565752
503,Игрушки,10947,0.00015339891425537254
504,Детям,10951,0.0001894589684282876
505,Игрушки,10951,7.669945712768627e-05
506,Детям,10952,0.0003789179368565752
507,Игрушки,10952,0.00015339891425537254
508,Детям,10956,0.0003789179368565752
509,Игрушки,10956,0.00015339891425537254
510,Автотовары,1095х144см,0.00016926238048164914
511,Детям,10963,0.0001894589684282876
512,Игрушки,10963,7.669945712768627e-05
513,Детям,10964,0.0003789179368565752
514,Игрушки,10964,0.00015339891425537254
515,Детям,10966,0.0003789179368565752
516,Игрушки,10966,0.00015339891425537254
517,Детям,10973,0.0001894589684282876
518,Игрушки,10973,7.669945712768627e-05
519,Для ремонта,109k,0.00032183112449507643
520,Сад и дача,10c,0.00018912426622707312
521,Сад и дача,10gsm,0.00037824853245414623
522,Электроника,10s,0.0004752363449279499
523,Автотовары,10t,0.00026145274444470756
524,Электроника,10t,0.0002446927787255817
525,Автотовары,10w,0.0005229054888894151
526,Электроника,10w,0.0006117319468139543
527,Автотовары,10w40,0.004231559512041229
528,Автотовары,10w404l,0.00016926238048164914
529,Автотовары,10w60,0.00016926238048164914
530,Детям,10x15,0.00024530839076008566
531,Детям,10x8,0.000735925172280257
532,Для ремонта,10апп,0.00032183112449507643
533,Красота,10в1,0.00010563555871494477
534,Продукты,10г,0.0005277078410659967
535,Сад и дача,10к,0.00018912426622707312
536,Для ремонта,10кг,0.0002485597523428623
537,Зоотовары,10кг,0.0009471803654233545
538,Автотовары,10л,0.00012215625603692774
539,Бытовая техника,10л,0.0003459651357795968
540,Для ремонта,10л,0.00011613237723764373
541,Дом,10л,5.7919247610085924e-05
542,Здоровье,10л,0.0009753676226364092
543,Зоотовары,10л,0.0001106356786171309
544,Сад и дача,10л,0.0008871884552544059
545,Зоотовары,10литров,0.000306598432801956
546,Для ремонта,10м,0.0010284937362871635
547,Сад и дача,10м,0.0006043950021913633
548,Товары для взрослых,10м,0.0002465674289223661
549,Красота,10мл,0.0006526838783285736
550,Товары для взрослых,10мл,0.0002979441532138213
551,Автотовары,10мм,0.00027657109188917534
552,Дом,10мм,8.742239965223178e-05
553,Зоотовары,10мм,0.0005009752497291639
554,Сад и дача,10мм,0.00010300832877398014
555,Здоровье,10режимов,0.0001930701019546847
556,Дом,10см,0.00010258910528549732
557,Зоотовары,10см,0.0005878882625544753
558,Игрушки,10см,0.0001269471995991332
559,Автотовары,10т,0.00013072637222235378
560,Электроника,10т,0.00012234638936279085
561,Сад и дача,10таблеток,0.00018912426622707312
562,Продукты,10уп,0.00017590261368866553
563,Красота,10х10,0.00021127111742988953
564,Дом,10х15,0.000247930752547815
565,Электроника,10х15,0.0007340783361767452
566,Канцтовары,10х2,0.0004082771138156663
567,Сад и дача,10х32м,0.0007564970649082925
568,Книги,10х6см,0.00011239791921303292
569,Красота,10х8,0.00042254223485977907
570,Дом,10х95х85,0.00016050835289558324
